1784,11
1789,10
1791,32
1792,99
1793,65
1797,5
1798,59
1800,67
1801,54
1802,4
1803,12
1805,3
1807,2
1810,1
1811,2
1813,3
1815,65
1816,54
1817,118
1818,142
1819,278
1820,278
1821,217
1822,395
1823,405
1824,154
1825,195
1826,405
1827,417
1828,505
1829,691
1830,611
1831,866
1832,1604
1833,1868
1834,1668
1835,1606
1836,2123
1837,2353
1838,2037
1839,2081
1840,2057
1841,2110
1842,2677
1843,3137
1844,5040
1845,3908
1846,4740
1847,3954
1848,2271
1849,1703
1850,1277
1851,860
1852,1313
1853,1251
1854,733
1855,627
1856,614
1857,420
1858,465
1859,674
1860,1002
1861,806
1862,612
1863,499
1864,412
1865,394
1866,551
1867,487
1868,597
1869,567
1870,384
1871,238
1872,240
1873,264
1874,168
1875,185
1876,294
1877,248
1878,200
1879,128
1880,82
1881,160
1882,148
1883,186
1884,167
1885,264
1886,294
1887,241
1888,289
1889,217
1890,179
1891,170
1892,247
1893,255
1894,150
1895,180
1896,139
1897,108
1898,141
1899,142
1900,123
1901,143
1902,132
1903,113
1904,108
1905,126
1906,127
1907,105
1908,112
1909,103
1910,76
1911,117
1912,99
1913,33
1914,15
1915,65
1916,68
1917,15
1919,3
1920,18
