Year,Blackfish,Blue,Bowhead,Dolphin,Finback,Grampus,Gray,Humpback,Killer,Pilot,Porpoise,Right,Sperm,Whale,Unknown
1784,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0
1789,0,0,0,1,0,1,0,0,0,3,0,0,0,5,0
1791,0,0,0,0,5,4,0,0,1,3,0,0,0,19,0
1792,0,0,0,0,22,3,0,27,1,7,0,2,7,30,0
1793,0,0,0,0,1,0,0,11,1,0,0,15,4,33,0
1797,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0
1798,0,0,0,0,0,0,0,0,0,0,0,11,48,0,0
1800,10,0,0,3,3,0,0,7,1,0,4,24,12,3,0
1801,3,0,0,0,0,0,0,5,0,0,8,35,3,0,0
1802,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
1803,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1805,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1807,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1810,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1811,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1813,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1815,0,0,0,0,1,0,0,1,0,2,0,1,3,57,0
1816,0,0,0,0,3,0,0,0,0,1,0,0,4,46,0
1817,0,0,0,0,0,0,0,0,0,4,0,16,3,95,0
1818,0,0,0,0,5,0,0,1,0,2,0,13,14,107,0
1819,0,0,0,0,12,1,0,9,1,20,0,25,45,165,0
1820,0,0,0,0,45,7,0,21,2,58,0,1,74,69,1
1821,0,0,0,0,9,0,0,5,0,5,0,80,94,24,0
1822,0,0,0,0,36,4,0,3,2,25,0,78,181,66,0
1823,0,0,0,0,28,0,0,6,0,16,0,62,188,105,0
1824,0,0,0,0,5,0,0,3,0,3,0,58,27,58,0
1825,0,0,0,0,13,2,0,1,1,9,0,43,47,79,0
1826,0,0,0,0,37,5,0,4,2,23,0,52,134,148,0
1827,0,0,0,2,50,4,0,13,2,43,0,66,167,68,2
1828,0,0,0,0,43,9,0,17,0,37,0,43,234,122,0
1829,0,0,0,0,25,9,0,8,4,25,0,117,307,196,0
1830,0,0,0,0,13,3,0,1,0,5,0,109,274,206,0
1831,0,0,0,0,38,1,0,5,2,24,0,188,363,245,0
1832,0,0,0,1,64,10,0,5,1,26,0,299,892,306,0
1833,0,0,0,1,46,2,0,18,1,38,0,270,907,585,0
1834,0,0,0,0,41,6,0,0,2,20,0,239,775,585,0
1835,0,1,0,0,94,6,0,57,3,59,0,212,663,511,0
1836,0,0,0,0,111,7,0,31,2,67,0,660,765,480,0
1837,0,0,0,0,87,8,0,35,0,93,0,692,853,584,1
1838,0,1,0,0,53,34,0,23,5,81,0,558,673,609,0
1839,0,0,0,0,56,28,0,13,6,37,0,461,842,633,5
1840,0,0,0,0,10,3,0,1,1,17,0,391,891,742,1
1841,0,1,0,0,43,8,0,6,0,77,0,409,989,575,2
1842,0,1,0,0,55,14,0,20,4,38,0,656,1009,872,8
1843,0,0,0,1,71,13,0,23,2,42,0,1005,762,1217,1
